,F1 ,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
2017-08-17,,,,,,,,,,,,,,,,,,,
2017-08-18,,,,,,,,,,,,,,,,,,,
2017-08-19,,,,,,,,,,,,,,,,,,,
2017-08-20,,,,,,,,,,,,,,,,,,,
2017-08-21,8,8,7,6,5,4,4,3,3,2,2,1,1,1,1,1,,,
2017-08-22,,8,7,6,5,4,4,3,3,2,2,1,1,1,1,1,,,
2017-08-23,,,7,6,5,4,4,3,3,2,2,1,1,1,1,1,,,
2017-08-24,,,7,7,6,4,4,3,3,2,2,1,1,1,1,1,,,
2017-08-25,,,7,7,6,5,4,4,3,3,2,1,1,1,1,1,,,
2017-08-26,,,,7,6,5,4,4,4,3,2,1,1,1,1,1,,,
2017-08-27,,,,7,7,5,5,4,4,3,3,1,1,1,1,1,1,,
2017-08-28,,,,,7,6,5,4,4,3,3,2,1,1,1,1,1,,
2017-08-29,,,,,7,6,5,4,4,3,3,2,1,1,1,1,1,,
2017-08-30,,,,,7,7,6,4,4,3,3,2,2,1,1,1,1,,
2017-08-31,,,,,,7,6,4,4,3,3,2,2,2,1,,1,,
2017-09-01,,,,,,7,6,5,4,4,3,3,2,2,1,,1,,
2017-09-02,,,,,,7,6,6,5,4,4,,2,2,1,,1,,
2017-09-03,,,,,,7,7,6,5,4,4,,2,2,1,,1,,
2017-09-04,,,,,,d+c,7,6,6,4,4,,3,2,1,,1,,
2017-09-05,,,,,,,8,7,6,4,4,,3,2,2,,1,,
2017-09-06,,,,,,,8,7,7,4,4,,3,3,2,,1,,
2017-09-07,,,,,,,d+c,7,7,5,4,,4,3,2,,1,,
2017-09-08,,,,,,,,7,7,5,4,,4,3,2,,1,,
2017-09-09,,,,,,,,8,8,5,4,,4,3,2,,1,,
2017-09-10,,,,,,,,d+c,8,5,5,,4,3,2,,1,,
2017-09-11,,,,,,,,,,6,5,,4,,2,,1,,
2017-09-12,,,,,,,,,,6,5,,4,,2,,1,1,1
2017-09-13,,,,,,,,,,7,6,,4,,3,,1,1,1
2017-09-14,,,,,,,,,,7,7,,4,,3,,1,1,1
2017-09-15,,,,,,,,,,7,7,,4,,3,,1,1,1
2017-09-16,,,,,,,,,,7,7,,4,,3,,1,1,1
2017-09-17,,,,,,,,,,7,7,,5,,3,,2,1,1
2017-09-18,,,,,,,,,,7,7,,5,,3,,2,1,1
2017-09-19,,,,,,,,,,d+c,7,,5,,4,,2,1,1
2017-09-20,,,,,,,,,,,7,,5,,4,,2,1,1
