group,stage,days
a,1,20
a,1,10.5
a,1,13.67
a,1,18.5
a,1,13.5
b,1,13.75
b,1,16.8
b,1,13
b,1,22.8
b,1,13.5
b,1,14.5
a,2,6.8
a,2,6.25
a,2,5.33
a,2,5
a,2,5
a,2,4
b,2,5.75
b,2,4
b,2,5.67
b,2,6
b,2,4.67
b,2,5.33
b,2,4.11
b,2,5
a,3,4.25
a,3,5.2
a,3,6
a,3,6
a,3,7.33
a,3,10.5
b,3,5.25
b,3,3.5
b,3,4.86
b,3,3.5
b,3,5
b,3,6.67
b,3,5
b,3,5.38
b,3,4.33
a,4,7.75
a,4,8.43
a,4,7.5
a,4,8
a,4,7.2
a,4,6.75
b,4,7.6
b,4,6.5
b,4,11.67
b,4,9.33
b,4,8
b,4,6.67
b,4,8
b,4,6.25
b,4,7.8
a,5,3.5
a,5,1.33
a,5,1.7
a,5,1
a,5,1.25
a,5,2.25
b,5,2.75
b,5,4
b,5,3.33
b,5,1
b,5,2.4
b,5,1.33
b,5,2
b,5,2
b,5,2.14
b,5,1
a,6,2.33
a,6,2.83
a,6,4
a,6,2.5
a,6,4
a,6,2.5
b,6,2.71
b,6,2
b,6,2.17
b,6,3
b,6,3.8
b,6,2.67
b,6,4
b,6,3
b,6,2.71
b,6,3.67
a,7,4.67
a,7,6.4
a,7,7.2
a,7,5
a,7,6
a,7,6
b,7,4.5
b,7,5.33
b,7,4.16
b,7,6
b,7,7
b,7,4
b,7,3
b,7,3
b,7,6
b,7,8.5
