cage,treatment_time,treatment_status,control,control_time,control_status
1,9,2,2,8,2
1,10,2,2,8,2
1,6,1,2,9,2
1,10,2,2,9,2
1,13,2,2,8,2
1,11,2,2,9,2
1,12,1,2,8,1
1,9,1,2,11,2
1,5,2,2,13,2
1,13,2,2,10,2
1,12,2,2,4,1
1,14,2,2,33,1
1,11,2,2,30,1
1,10,1,2,9,2
1,10,2,2,13,2
1,12,2,2,15,1
1,6,2,2,9,1
1,7,2,2,5,1
1,8,2,2,12,2
1,14,1,2,11,2
1,9,2,2,9,2
1,7,2,2,9,1
1,14,2,2,7,2
1,9,2,2,10,2
1,8,2,2,22,1
1,6,2,2,10,2
1,6,2,2,6,2
1,4,2,2,11,2
1,5,2,2,10,2
,,,2,7,2
,,,2,31,1
,,,2,31,1
,,,2,31,1
,,,2,29,1
,,,2,9,2
,,,2,11,2
,,,2,25,1
,,,2,25,1
,,,2,25,1
,,,2,11,2
,,,2,14,1
,,,2,14,1
,,,2,4,2
,,,2,7,1
,,,2,3,1
,,,2,10,1
,,,2,7,2
,,,2,7,2
,,,2,7,2
,,,2,6,2
,,,2,8,2
,,,2,19,1
,,,2,14,1
,,,2,11,1
,,,2,8,2
,,,2,7,1
,,,2,12,2
,,,2,13,2
,,,2,12,2
,,,2,8,2
,,,2,10,2
